id,S,E_adp,Fw_beta,Fbeta_max,MAE,IoU
COD10K-CAM-1-Aquatic-11-Octopus-436,0.8029826138350499,,0.8166012675137921,,0.11492696404457092,0.6780177697302983
COD10K-CAM-1-Aquatic-11-Octopus-465,0.9405202742992551,,0.9561377001171956,,0.013104625046253204,0.9251072128438383
COD10K-CAM-1-Aquatic-13-Pipefish-536,0.9582137705270422,,0.9609154133548266,,0.009592617861926556,0.9082630276333417
COD10K-CAM-1-Aquatic-13-Pipefish-542,0.41556215087828396,,0.048496726666586484,,0.12503767013549805,0.040521318793102445
COD10K-CAM-1-Aquatic-13-Pipefish-721,0.9649742386281006,,0.9305454568200443,,0.000850677490234375,0.8625154130525583
COD10K-CAM-1-Aquatic-13-Pipefish-728,0.49658785865136407,,0.1644613052760009,,0.04144313931465149,0.059813811670635396
COD10K-CAM-1-Aquatic-13-Pipefish-830,0.34923069003333546,,0.009891764098168148,,0.3284243643283844,0.008233759625903742
COD10K-CAM-1-Aquatic-14-ScorpionFish-901,0.8427114610218497,,0.8839446076497401,,0.040648143738508224,0.7828077970956001
COD10K-CAM-1-Aquatic-14-ScorpionFish-943,0.8909566579537201,,0.8920186482384336,,0.03906521573662758,0.7958375331841765
COD10K-CAM-1-Aquatic-15-SeaHorse-1086,0.9158436041458592,,0.916769649240168,,0.02999480441212654,0.8292004112020751
COD10K-CAM-1-Aquatic-15-SeaHorse-1099,0.9412173506436396,,0.9413157080149211,,0.01562785916030407,0.8765041523067889
COD10K-CAM-1-Aquatic-15-SeaHorse-963,0.5293852159743435,,0.30758776370985325,,0.17950057983398438,0.27383512176037106
COD10K-CAM-1-Aquatic-16-Shrimp-1116,0.9682537851983275,,0.966471779859122,,0.0027708180714398623,0.9206882645454988
COD10K-CAM-1-Aquatic-18-StarFish-1173,0.9760309456635623,,0.9763131061416006,,0.0043729147873818874,0.9426565730658596
COD10K-CAM-1-Aquatic-19-Stingaree-1192,0.9729860481391915,,0.9811863016768043,,0.00664158072322607,0.950238720457209
COD10K-CAM-1-Aquatic-3-Crab-40,0.9236775903763699,,0.9023083475671387,,0.007969779893755913,0.8122347234359218
COD10K-CAM-1-Aquatic-3-Crab-93,0.9106678446724134,,0.89231626211347,,0.009319023229181767,0.7748837763692044
COD10K-CAM-1-Aquatic-5-CrocodileFish-126,0.7148472068022456,,0.8512934771583414,,0.17843754589557648,0.7345717425555034
COD10K-CAM-1-Aquatic-9-GhostPipefish-318,0.6929723310746247,,0.734818085413229,,0.12972715497016907,0.5730910265885111
COD10K-CAM-2-Terrestrial-23-Cat-1320,0.9629566288956006,,0.9678342131693529,,0.00359344482421875,0.9225880677123689
COD10K-CAM-2-Terrestrial-23-Cat-1327,0.9172994111757162,,0.8791562360573526,,0.0028941503260284662,0.7585675323045349
COD10K-CAM-2-Terrestrial-23-Cat-1380,0.8978245765028714,,0.8913904396408926,,0.03145095333456993,0.7953661697983346
COD10K-CAM-2-Terrestrial-23-Cat-1423,0.5559604258664872,,0.33363788612573025,,0.12088775634765625,0.2766601740822047
COD10K-CAM-2-Terrestrial-23-Cat-1527,0.7576064652017476,,0.7959333006820551,,0.17257703840732574,0.6421453666778415
COD10K-CAM-2-Terrestrial-24-Caterpillar-1572,0.8931694029382307,,0.8826238068298955,,0.035931844264268875,0.7756930311217898
COD10K-CAM-2-Terrestrial-26-Chameleon-1705,0.8713599230620076,,0.7788552536670645,,0.007311460096389055,0.670941939038264
COD10K-CAM-2-Terrestrial-28-Deer-1758,0.9542102218573754,,0.9501000705078221,,0.007925455458462238,0.9038258002933914
COD10K-CAM-2-Terrestrial-28-Deer-1760,0.9538406049625561,,0.9622018701642396,,0.011203685775399208,0.9241569116038678
COD10K-CAM-2-Terrestrial-29-Dog-1820,0.9725512386617197,,0.9233974229880437,,0.00043209674186073244,0.8742823055667949
COD10K-CAM-2-Terrestrial-29-Dog-1829,0.9643312892903638,,0.9604170709506376,,0.0038061486557126045,0.9123730472014293
COD10K-CAM-2-Terrestrial-32-Giraffe-1942,0.8568239812851748,,0.7604975861590108,,0.01310089509934187,0.7145856180457008
COD10K-CAM-2-Terrestrial-32-Giraffe-1950,0.967990059886224,,0.9575249564077454,,0.0029943331610411406,0.9061192806895246
COD10K-CAM-2-Terrestrial-33-Grouse-1952,0.9472263238057158,,0.8995769290239827,,0.007431208621710539,0.8438742989835661
COD10K-CAM-2-Terrestrial-34-Human-1983,0.9634805305780958,,0.9556542527702971,,0.0017257847357541323,0.9102268501233899
COD10K-CAM-2-Terrestrial-34-Human-2028,0.9659568635758045,,0.9682347389711706,,0.008628041483461857,0.9323831477689354
COD10K-CAM-2-Terrestrial-34-Human-2031,0.9095886888327052,,0.9027090880396194,,0.008294117636978626,0.80137736733759
COD10K-CAM-2-Terrestrial-37-Lion-2113,0.9122606959557866,,0.838677493072253,,0.007119040470570326,0.7574414186156894
COD10K-CAM-2-Terrestrial-38-Lizard-2183,0.9619666613185249,,0.9649229943013975,,0.007347005419433117,0.9222162230457303
COD10K-CAM-2-Terrestrial-38-Lizard-2212,0.4577663619741239,,0.08275792432390891,,0.05946516618132591,0.03887789547191508
COD10K-CAM-2-Terrestrial-38-Lizard-2217,0.7651284333605928,,0.49888235939023917,,0.007995453663170338,0.4330669330597225
COD10K-CAM-2-Terrestrial-38-Lizard-2326,0.9547268987690601,,0.9695635548849123,,0.015805289149284363,0.9344756300474454
COD10K-CAM-2-Terrestrial-42-Sciuridae-2400,0.944725950123259,,0.9228998202188984,,0.0072251264937222,0.8414334341879682
COD10K-CAM-2-Terrestrial-44-Snake-2424,0.624038164544816,,0.24750377232641615,,0.0044199624098837376,0.2087411791438939
COD10K-CAM-2-Terrestrial-44-Snake-2456,0.6905457614739949,,0.5026483652657507,,0.01279968861490488,0.35177407675342665
COD10K-CAM-2-Terrestrial-45-Spider-2534,0.5087036486828449,,0.11839831141893885,,0.020695511251688004,0.07083505215351031
COD10K-CAM-2-Terrestrial-45-Spider-2538,0.9437280149993628,,0.9263570915220223,,0.004559732973575592,0.840801250175193
COD10K-CAM-2-Terrestrial-45-Spider-2553,0.8917861908370323,,0.8844659094025298,,0.019098667427897453,0.7645008549206596
COD10K-CAM-2-Terrestrial-45-Spider-2575,0.795855909816878,,0.8069269783462284,,0.030669495463371277,0.6511457706496476
COD10K-CAM-2-Terrestrial-45-Spider-2673,0.7074294482169351,,0.4915611657808017,,0.11895130574703217,0.45410050898842713
COD10K-CAM-2-Terrestrial-45-Spider-2717,0.44063781848192973,,0.0769034663449232,,0.13184846937656403,0.056155572176458585
COD10K-CAM-2-Terrestrial-45-Spider-2727,0.9066348437117903,,0.8963912353434975,,0.01946643367409706,0.7977765142434795
COD10K-CAM-2-Terrestrial-45-Spider-2732,0.947797726894021,,0.9362204017448338,,0.008014678955078125,0.8632369214727293
COD10K-CAM-2-Terrestrial-45-Spider-2770,0.9409855804876683,,0.9086284303322721,,0.0050519309006631374,0.8107103720958087
COD10K-CAM-2-Terrestrial-45-Spider-2771,0.9127364972714327,,0.8789887464948117,,0.012721264734864235,0.7998790353053604
COD10K-CAM-2-Terrestrial-45-Spider-2798,0.39435022774520895,,0.0028535473997550144,,0.12687556445598602,0.0015410324917679435
COD10K-CAM-2-Terrestrial-46-StickInsect-2808,0.4004784854982321,,0.10545663190691511,,0.25735270977020264,0.08333218284472087
COD10K-CAM-2-Terrestrial-46-StickInsect-2817,0.7130823352068163,,0.3896815912000136,,0.037282947450876236,0.3203561082433381
COD10K-CAM-2-Terrestrial-49-Worm-2941,0.9538561785229204,,0.956715060463417,,0.009976141154766083,0.9011730629965226
COD10K-CAM-2-Terrestrial-49-Worm-2953,0.9494476083704686,,0.9446184400037593,,0.008591647259891033,0.8949120553595247
COD10K-CAM-3-Flying-52-Beetle-3009,0.30001881668289226,,0.05636883505722037,,0.39295199513435364,0.04413691061984149
COD10K-CAM-3-Flying-54-Bittern-3260,0.9342431202839055,,0.8746618568921063,,0.007923913188278675,0.777697619284987
COD10K-CAM-3-Flying-54-Bittern-3271,0.703634631063989,,0.4498070003727738,,0.012567511759698391,0.3647661845220842
COD10K-CAM-3-Flying-55-Butterfly-3436,0.9759043363868398,,0.9716218811179572,,0.0009371439809910953,0.9244335076291967
COD10K-CAM-3-Flying-56-Cicada-3443,0.9701707108541324,,0.9768771886560066,,0.007179166655987501,0.9423022184998873
COD10K-CAM-3-Flying-56-Cicada-3472,0.9393163255322268,,0.9350402723333547,,0.01927143894135952,0.8673253483703525
COD10K-CAM-3-Flying-56-Cicada-3510,0.9648468313564156,,0.9662788825473195,,0.0006601104396395385,0.930013663262031
COD10K-CAM-3-Flying-59-Grasshopper-3632,0.9469874468130619,,0.9334629244107039,,0.005582621321082115,0.8728867667854624
COD10K-CAM-3-Flying-59-Grasshopper-3634,0.7510871105691657,,0.7411834447391921,,0.0062433877028524876,0.5767971039426236
COD10K-CAM-3-Flying-59-Grasshopper-3672,0.7889859103931723,,0.7363457906130377,,0.08663003146648407,0.6894579289565888
COD10K-CAM-3-Flying-59-Grasshopper-3681,0.5057063124942218,,0.3614400485320703,,0.2865234315395355,0.3480413941970886
COD10K-CAM-3-Flying-59-Grasshopper-3740,0.8179350753894787,,0.7660090782815921,,0.04732384532690048,0.5930575251241222
COD10K-CAM-3-Flying-59-Grasshopper-3761,0.8848554396974122,,0.847627183540736,,0.005297673400491476,0.7522005868181368
COD10K-CAM-3-Flying-59-Grasshopper-3772,0.9283962402021714,,0.9228728950002719,,0.0029382845386862755,0.8670471496149746
COD10K-CAM-3-Flying-59-Grasshopper-3814,0.9307025888916229,,0.93899734954013,,0.020657788962125778,0.8669706102655474
COD10K-CAM-3-Flying-59-Grasshopper-3831,0.9247252719357274,,0.9104318193732145,,0.010339426808059216,0.822410646865054
COD10K-CAM-3-Flying-59-Grasshopper-3853,0.443592846499306,,0.02560783195930298,,0.06335485726594925,0.009209968436403614
